,0,1,title
98,98,http://www.memphis.edu/mediaroom/releases/2017/nov17/basketballfacilities.php,Basketball Facilities -       	UofM Media Room      	 - University of Memphis   
99,99,http://www.memphis.edu/admissions/,Office of Admissions -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
100,100,http://www.memphis.edu/mediaroom/releases/jun15/patti-bradford-endowed-scholarship.php,Michael and Pam Koban Endow Scholarship at UofM -       	UofM Media Room      	 - University of Memphis   
101,101,http://www.memphis.edu/mediaroom/releases/2017/oct17/stjudecourses.php,ALSAC/St. Jude Collaboration -       	UofM Media Room      	 - University of Memphis   
102,102,http://www.memphis.edu/umparents/news/enews-signup.php,Parent E-Newsletter Sign Up -       	Parent & Family Services      	 - University of Memphis   
103,103,http://www.memphis.edu/graduateadmissions/future/apply_grad.php,Apply for Admission -       	Graduate Admissions      	 - University of Memphis   
104,104,http://www.memphis.edu/aa/,Academic Affairs -       	Academic Affairs      	 - University of Memphis   
105,105,http://www.memphis.edu/oie/eo-aa/eoaa-policy.php,Equal Opportunity and Affirmative Action Policy -       	OIE      	 - University of Memphis   
106,106,http://www.memphis.edu/communications/,Marketing and Communications -       	Marketing and Communication      	 - University of Memphis   
107,107,http://www.memphis.edu/iei/,IEI -       	IEI      	 - University of Memphis   
108,108,http://www.memphis.edu/web-directory/list.php,UofM Complete List -       	Web Directory      	 - University of Memphis   
109,109,http://www.memphis.edu/libraries/about/index.php,About University Libraries -       	Libraries      	 - University of Memphis   
110,110,http://www.memphis.edu/libraries/technology/,Technology Portal -       	Libraries      	 - University of Memphis   
111,111,http://www.memphis.edu/libraries/resources/new_databases.php,New Databases -       	Libraries      	 - University of Memphis   
112,112,http://www.memphis.edu/cwc/about/how_to.php,How to sign up for a CWC session -       	CWC      	 - University of Memphis   
113,113,http://www.memphis.edu/libraries/resources/index.php,Resources -       	Libraries      	 - University of Memphis   
114,114,http://www.memphis.edu/libraries/technology/index.php,Technology Portal -       	Libraries      	 - University of Memphis   
115,115,http://www.memphis.edu/libraries/instruction/index.php,Library Instructional Services -       	Libraries      	 - University of Memphis   
116,116,http://www.memphis.edu/libraries/technology/sandbox.php,Sandbox -       	Libraries      	 - University of Memphis   
117,117,http://www.memphis.edu/libraries/help/offcampus.php,Off Campus Access -       	Libraries      	 - University of Memphis   
118,118,http://www.memphis.edu/libraries/services/index.php,Services -       	Libraries      	 - University of Memphis   
119,119,http://www.memphis.edu/libraries/govpub/,Government Publications -       	Libraries      	 - University of Memphis   
120,120,http://www.memphis.edu/libraries/help/erm_report.php,Report Resource Access Problem -       	Libraries      	 - University of Memphis   
121,121,http://www.memphis.edu/libraries/about/departments.php,Libraries Departments & Staff  -       	Libraries      	 - University of Memphis   
122,122,http://www.memphis.edu/coe/online.php,Online -       	COE      	 - University of Memphis   
123,123,http://www.memphis.edu/coe/contacts.php,Contacts  -       	COE      	 - University of Memphis   
124,124,http://www.memphis.edu/coe/research/,Research -       	COE      	 - University of Memphis   
125,125,http://www.memphis.edu/coe/about/,About -       	COE      	 - University of Memphis   
126,126,http://www.memphis.edu/cshe/,Center For The Study of Higher Education -       	Center for the Study of Higher Education      	 - University of Memphis   
127,127,http://www.memphis.edu/coe/departments/index.php, Departments -       	COE      	 - University of Memphis   
128,128,http://www.memphis.edu/cepr/research/crer.php,CRER -       	CEPR      	 - University of Memphis   
129,129,http://www.memphis.edu/coe/apply_grad.php,Apply to Masters -       	COE      	 - University of Memphis   
130,130,http://www.memphis.edu/coe/alumni/,Alumni -       	COE      	 - University of Memphis   
131,131,http://www.memphis.edu/coe/scholarships/,Scholarships -       	COE      	 - University of Memphis   
132,132,http://www.memphis.edu/coe/graduate_programs.php,Graduate Programs -       	COE      	 - University of Memphis   
133,133,http://www.memphis.edu/copy-me/,Page Title - University of Memphis
134,134,http://www.memphis.edu/crep/,CREP -       	CREP      	 - University of Memphis   
135,135,http://www.memphis.edu/coe/faculty/,Faculty -       	COE      	 - University of Memphis   
136,136,http://www.memphis.edu/lipman/,Barbara K. Lipman Early Childhood School and Research Institute -       	Lipman      	 - University of Memphis   
137,137,http://www.memphis.edu/tep/,TEP -       	TEP      	 - University of Memphis   
138,138,http://www.memphis.edu/coe/degrees/,Degrees -       	COE      	 - University of Memphis   
139,139,http://www.memphis.edu/admissions/apply_ugrd.php,Apply for Admissions  -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
140,140,http://www.memphis.edu/uofmglobal/about/faculty.php,Our Faculty -       	UofM Global      	 - University of Memphis   
141,141,http://www.memphis.edu/uofmglobal/about/contact.php,Contact Us -       	UofM Global      	 - University of Memphis   
142,142,http://www.memphis.edu/uofmglobal/services/libraries/index.php,Libraries Services -       	UofM Global      	 - University of Memphis   
143,143,http://www.memphis.edu/uofmglobal/admissions/application.php,UofM Online Application - Apply Now -       	UofM Global      	 - University of Memphis   
144,144,http://www.memphis.edu/uofmglobal/services/additional-support.php,Additional Support -       	UofM Global      	 - University of Memphis   
145,145,http://www.memphis.edu/uofmglobal/services/learning/degree-pathways.php,Degree Pathways -       	UofM Global      	 - University of Memphis   
146,146,http://www.memphis.edu/uofmglobal/services/technology/more-services.php,More Technology Services -       	UofM Global      	 - University of Memphis   
147,147,http://www.memphis.edu/gradcatalog/,University of Memphis - Acalog ACMSâ¢
148,148,http://www.memphis.edu/uofmglobal/about/request-information.php,Request Information -       	UofM Global      	 - University of Memphis   
149,149,http://www.memphis.edu/uofmglobal/about/fees.php,Fees -       	UofM Global      	 - University of Memphis   
150,150,http://www.memphis.edu/uofmglobal/services/registration/dates.php,Dates and Deadlines -       	UofM Global      	 - University of Memphis   
151,151,http://www.memphis.edu/uofmglobal/services/technology/course-preview.php,Preview an Online Course -       	UofM Global      	 - University of Memphis   
152,152,http://www.memphis.edu/uofmglobal/services/technology/requirements.php,Technology Requirements -       	UofM Global      	 - University of Memphis   
153,153,http://www.memphis.edu/advising/findmyadvisor.php,Find My Advisor -       	Advising      	 - University of Memphis   
154,154,http://www.memphis.edu/uofmglobal/admissions/smartstart.php,SmartStart -       	UofM Global      	 - University of Memphis   
155,155,http://www.memphis.edu/uofmglobal/services/registration/coursesearch.php,Online Course Search -       	UofM Global      	 - University of Memphis   
156,156,http://www.memphis.edu/uofmglobal/admissions/index.php,Online Admissions Process -       	UofM Global      	 - University of Memphis   
157,157,http://www.memphis.edu/uofmglobal/services/learning/readiness-assessment.php,Online Learning Readiness Assessment -       	UofM Global      	 - University of Memphis   
158,158,http://www.memphis.edu/uofmglobal/services/veterans/veterans.php,Adult and Veteran Students -       	UofM Global      	 - University of Memphis   
159,159,http://www.memphis.edu/uofmglobal/services/advising/advising.php,Advising -       	UofM Global      	 - University of Memphis   
160,160,http://www.memphis.edu/uofmglobal/services/learning/tutoring.php,Tutoring -       	UofM Global      	 - University of Memphis   
161,161,http://www.memphis.edu/uofmglobal/services/technology/technology.php,Technology Support -       	UofM Global      	 - University of Memphis   
162,162,http://www.memphis.edu/uofmglobal/services/learning/learning.php,Learning Support -       	UofM Global      	 - University of Memphis   
163,163,http://www.memphis.edu/uofmglobal/services/index.php,UofM Global Student Services and Support -       	UofM Global      	 - University of Memphis   
164,164,http://www.memphis.edu/uofmglobal/services/learning/finish-line.php,Finish Line -       	UofM Global      	 - University of Memphis   
165,165,http://www.memphis.edu/uofmglobal/services/graduation/index.php,Graduation -       	UofM Global      	 - University of Memphis   
166,166,http://www.memphis.edu/uofmglobal/about/index.php,About UofM Global -       	UofM Global      	 - University of Memphis   
167,167,http://www.memphis.edu/uofmglobal/services/registration/registration.php,Course Registration -       	UofM Global      	 - University of Memphis   
168,168,http://www.memphis.edu/uofmglobal/services/learning/communication.php,Online Communication -       	UofM Global      	 - University of Memphis   
169,169,http://www.memphis.edu/uofmglobal/about/rankings.php,Ranked Online Degrees -       	UofM Global      	 - University of Memphis   
