,0,1,title
0,0,http://www.memphis.edu,
139,139,http://www.memphis.edu/suggestions/,Suggestion Box -       	UofM Suggestions      	 - University of Memphis   
140,140,http://www.memphis.edu/_alert/,UofM Alert Notification -       	UofM Alerts      	 - University of Memphis   
141,141,http://www.memphis.edu/presweb/leadership/keyadministrators.php,Key Administrators  -       	Office of the President      	 - University of Memphis   
142,142,http://www.memphis.edu/bursar/fees/,Fee Charts & Fee Payment -       	Bursar's Office      	 - University of Memphis   
143,143,http://www.memphis.edu/registrar/,Registrar -       	Registrar      	 - University of Memphis   
144,144,http://www.memphis.edu/mediaroom/,UofM Media Room -       	UofM Media Room      	 - University of Memphis   
145,145,http://www.memphis.edu/ieaaa/,"Institutional Effectiveness, Accreditation, & Academic Assessment -       	Institutional Effectiveness, Accreditation, & Academic Assessment      	 - University of Memphis   "
146,146,http://www.memphis.edu/hr/,Human Resources -       	Human Resources      	 - University of Memphis   
147,147,http://www.memphis.edu/umtech/service_desk/, Service Desk -       	umTech - Information Technology Services       	 - University of Memphis   
148,148,http://www.memphis.edu/students/studentservices.php,Student Services -       	Current Students      	 - University of Memphis   
149,149,http://www.memphis.edu/benefits/,University Benefits Administration -       	University Benefits Administration      	 - University of Memphis   
150,150,http://www.memphis.edu/emprelations/appraisals.php,Performance Management Assessments -       	Employee Relations & Engagement      	 - University of Memphis   
151,151,http://www.memphis.edu/tigercopy/,Tiger Copy & Graphics -       	Tiger Copy & Graphics      	 - University of Memphis   
152,152,http://www.memphis.edu/umtech/teaching/,Teaching & Learning  -       	umTech - Information Technology Services       	 - University of Memphis   
153,153,http://www.memphis.edu/enrollment/,Enrollment Services -       	Enrollment Services      	 - University of Memphis   
154,154,http://www.memphis.edu/innovation/,The Center for Innovative Teaching and Learning -       	CITL      	 - University of Memphis   
155,155,http://www.memphis.edu/hr/avp.php,Maria Alam -       	Human Resources      	 - University of Memphis   
156,156,http://www.memphis.edu/parking/,Parking and Transportation Services -       	Parking & Transportation Services      	 - University of Memphis   
157,157,http://www.memphis.edu/umtech/smarttech_services/smart_classroom.php, Find Technology  -       	umTech - Information Technology Services       	 - University of Memphis   
158,158,http://www.memphis.edu/lipman/,Barbara K. Lipman Early Childhood School and Research Institute -       	Lipman      	 - University of Memphis   
159,159,http://www.memphis.edu/staffsenate/,Staff Senate -       	Staff Senate      	 - University of Memphis   
160,160,http://www.memphis.edu/mail/,Mail Services -       	Mail Services      	 - University of Memphis   
161,161,http://www.memphis.edu/vpai/,Vice Provost for Innovation and Support Services -       	VPAI      	 - University of Memphis   
162,162,http://www.memphis.edu/facultysenate/,Faculty Senate -       	Faculty Senate      	 - University of Memphis   
163,163,http://www.memphis.edu/workforce/,Workforce Management -       	Workforce Management      	 - University of Memphis   
164,164,http://www.memphis.edu/benefits/discounts.php,Employee Discounts -       	University Benefits Administration      	 - University of Memphis   
165,165,http://www.memphis.edu/records/,HR Records Management -       	HR Records Management      	 - University of Memphis   
166,166,http://www.memphis.edu/emprelations/,Employee Relations & Engagement -       	Employee Relations & Engagement      	 - University of Memphis   
167,167,http://www.memphis.edu/oed/,Organization & Employee Development -       	Organization & Employee Development       	 - University of Memphis   
168,168,http://www.memphis.edu/space/,Space Planning and Utilization -       	Space Planning and Utilization      	 - University of Memphis   
169,169,http://www.memphis.edu/fcbe/about/index.php,About FCBE -       	FCBE      	 - University of Memphis   
170,170,http://www.memphis.edu/fcbe/about/contact.php,Contact Us  -       	FCBE      	 - University of Memphis   
171,171,http://www.memphis.edu/fcbe/departments/index.php,Departments -       	FCBE      	 - University of Memphis   
172,172,http://www.memphis.edu/fcbe/research/index.php, Research @ FCBE -       	FCBE      	 - University of Memphis   
173,173,http://www.memphis.edu/professional/index.php,Avron B. Fogelman Professional Development Center -       	PDC      	 - University of Memphis   
174,174,http://www.memphis.edu/fcbe/programs/apply_bba.php,How To Apply For A BBA -       	FCBE      	 - University of Memphis   
175,175,http://www.memphis.edu/fcbephd/academics/admission_info.php,How To Apply -       	FCBE PhD      	 - University of Memphis   
176,176,http://www.memphis.edu/fcbe/news/index.php, News -       	FCBE      	 - University of Memphis   
